brand,lens_type,model,raw_category,focal_length_mm,magnification,working_distance_mm,aperture,max_sensor_format_mm,image_circle_mm,fov_mm,numerical_aperture,resolution_um,mtf30_lpmm,dof_mm,distortion_pct,telecentricity_deg,mount,weight_g,coaxial,wavelength_range,_source_url,_raw_target
Schneider-Kreuznach,fixed_focal,JADE F2.8/12 mm C-Mount Ruggedized lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),12,,230,F/2.8 ... F/22,19.3,,,- | 0.18,,,,,,C,167,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/jade/f2-8-12mm-c-ruggedized,schneider_cmount
Schneider-Kreuznach,fixed_focal,JADE F2.8/16 mm C-Mount lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),16,,150,F/2.8 ... F/22,19.3,,,- | 0.18,,,,,,C,154,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/jade/f2-8-16mm-c,schneider_cmount
Schneider-Kreuznach,fixed_focal,JADE F2.8/16 mm C-Mount Ruggedized lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),16,,150,F/2.8 ... F/22,19.3,,,- | 0.18,,,,,,C,154,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/jade/f2-8-16mm-c-ruggedized,schneider_cmount
Schneider-Kreuznach,fixed_focal,JADE F2.8/25 mm C-Mount lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),25,,120,F/2.8 ... F/16,19.3,,,- | 0.17,,,,,,C,76,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/jade/f2-8-25mm-c,schneider_cmount
Schneider-Kreuznach,fixed_focal,JADE F2.8/25 mm C-Mount Ruggedized lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),25,,120,F/2.8 ... F/16,19.3,,,- | 0.17,,,,,,C,76,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/jade/f2-8-25mm-c-ruggedized,schneider_cmount
Schneider-Kreuznach,fixed_focal,JADE F2.8/35 mm C-Mount lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),35,,175,F/2.8 ... F/22,19.3,,,- | 0.17,,,,,,C,124,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/jade/f2-8-35mm-c,schneider_cmount
Schneider-Kreuznach,fixed_focal,JADE F2.8/35 mm C-Mount ruggedized lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),35,,175,F/2.8 ... F/22,19.3,,,- | 0.17,,,,,,C,124,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/jade/f2-8-35mm-c-ruggedized,schneider_cmount
Schneider-Kreuznach,fixed_focal,JADE F2.8/50 mm C-Mount lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),50,,270,F/2.8 ... F/22,19.3,,,- | 0.17,,,,,,C,169,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/jade/f2-8-50mm-c,schneider_cmount
Schneider-Kreuznach,fixed_focal,JADE F2.8/50 mm C-Mount ruggedized lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),50,,270,F/2.8 ... F/22,19.3,,,- | 0.17,,,,,,C,169,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/jade/f2-8-50mm-c-ruggedized,schneider_cmount
Schneider-Kreuznach,fixed_focal,TOURMALINE F2.8/16 mm C-Mount lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),16,,150,F/2.8 ... F/16,24,,,- | 0.17,,,,,,C,204,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/tourmaline/f2-8-16mm-c,schneider_cmount
Schneider-Kreuznach,fixed_focal,TOURMALINE F2.8/16 mm TFL-Mount lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),16,,150,F/2.8 ... F/16,24,,,- | 0.17,,,,,,TFL-Mount,204,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/tourmaline/f2-8-16mm-tfl,schneider_cmount
Schneider-Kreuznach,fixed_focal,TOURMALINE F2.0/20 mm C-Mount lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),20,,194,F/2 ... F/16,24,,,- | 0.24,,,,,,C,450,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/tourmaline/f2-0-20mm-c,schneider_cmount
Schneider-Kreuznach,fixed_focal,TOURMALINE F2.0/20 mm TFL-Mount lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),20,,194,F/2 ... F/16,24,,,- | 0.24,,,,,,TFL-Mount,450,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/tourmaline/f2-0-20mm-tfl,schneider_cmount
Schneider-Kreuznach,fixed_focal,TOURMALINE F2.8/20 mm C-Mount LD lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),20,,396,F/2.8 ... F/22,24,,,- | 0.17,,,,,,C,154,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/tourmaline/f2-8-20mm-c-ld,schneider_cmount
Schneider-Kreuznach,fixed_focal,TOURMALINE F2.8/20 mm C-Mount SD lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),20,,191,F/2.8 ... F/22,24,,,- | 0.17,,,,,,C,154,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/tourmaline/f2-8-20mm-c-sd,schneider_cmount
Schneider-Kreuznach,fixed_focal,TOURMALINE F2.0/24 mm C-Mount lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),24,,111,F/2 ... F/16,24,,,- | 0.24,,,,,,C,120,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/tourmaline/f2-0-24mm-c,schneider_cmount
