brand	model_name	camera_type,sensor_name,_basler_vendor,sensor_brand,sensor_extra,sensor_size_mm,sensor_size_inch,resolution_mp,resolution_w,resolution_h,pixel_size_h,pixel_size_v,shutter,frame_rate,line_rate,spectrum,spectrum_min_nm,spectrum_max_nm,sensor_color,lens_mount,interface,interface_power,pixel_format,sensor_architecture,weight_g,dimension_w,dimension_h,dimension_l
Basler	r2L4096-84g5m	line,GL3504,Gpixel,,,,,,,,3.5,3.5,global,,84.0,Visible,,,,C-mount,5GigE,,,,102,29,29,55
Basler	r2L4096-42g5c	line,GL3504,Gpixel,,,,,,,,3.5,3.5,global,,42.0,Visible,,,,C-mount,5GigE,,,,102,29,29,55
Basler	r2L2048-58gm	line,GL3504,Gpixel,,,,,,,,7.0,7.0,global,,58.0,Visible,,,,C-mount,GigE,,,,100,29,29,55.5
Basler	r2L2048-29gc	line,GL3504,Gpixel,,,,,,,,7.0,7.0,global,,29.0,Visible,,,,C-mount,GigE,,,,100,29,29,55.5
Basler	r2L4096-42cc	line,GL3504,Gpixel,,,,,,,,3.5,3.5,global,,42.0,Visible,,,,C-mount,CoaXPress,,,,85,29,29,55.5
Basler	r2L4096-29gm	line,GL3504,Gpixel,,,,,,,,3.5,3.5,global,,29.0,Visible,,,,C-mount,GigE,,,,100,29,29,55.5
Basler	r2L4096-14gc	line,GL3504,Gpixel,,,,,,,,3.5,3.5,global,,14.0,Visible,,,,C-mount,GigE,,,,100,29,29,55.5
Basler	dmA3536-9gc (Color)	area,IMX676,Sony,,,10.04,"1/1.6""",12.5,3536.0,3536.0,2.0,2.0,rolling,9.0,,"Visible, NIR",,,,No Mount,GigE,,,CMOS,14,27,13.9,27
Basler	dmA3536-9gm (Mono)	area,IMX676,Sony,,,10.04,"1/1.6""",12.5,3536.0,3536.0,2.0,2.0,rolling,9.0,,"Visible, NIR",,,,No Mount,GigE,,,CMOS,14,27,13.9,27
Basler	a2A3536-42g5mBAS	area,IMX676,Sony,,,10.04,"1/1.6""",12.5,3536.0,3536.0,2.0,2.0,rolling,42.0,,"Visible, NIR",,,,C-mount,5GigE,,,CMOS,100,29,29,55.5
Basler	a2A3536-31umPRO	area,IMX676,Sony,,,10.04,"1/1.6""",12.5,3536.0,3536.0,2.0,2.0,rolling,31.0,,"Visible, NIR",,,,C-mount,USB3,,,CMOS,90,29,29,42.8
Basler	a2A3536-9gcBAS	area,IMX676,Sony,,,10.04,"1/1.6""",12.5,3536.0,3536.0,2.0,2.0,rolling,9.0,,"Visible, NIR",,,,C-mount,GigE,,,CMOS,100,29,29,55.5
Basler	a2A3536-42g5cBAS	area,IMX676,Sony,,,10.04,"1/1.6""",12.5,3536.0,3536.0,2.0,2.0,rolling,42.0,,"Visible, NIR",,,,C-mount,5GigE,,,CMOS,100,29,29,55.5
Basler	a2A3536-31umBAS	area,IMX676,Sony,,,10.04,"1/1.6""",12.5,3536.0,3536.0,2.0,2.0,rolling,31.0,,"Visible, NIR",,,,C-mount,USB3,,,CMOS,85,29,29,42.8
Basler	a2A3536-31ucBAS	area,IMX676,Sony,,,10.04,"1/1.6""",12.5,3536.0,3536.0,2.0,2.0,rolling,31.0,,"Visible, NIR",,,,C-mount,USB3,,,CMOS,85,29,29,42.8
Basler	a2A3536-9gcPRO	area,IMX676,Sony,,,10.04,"1/1.6""",12.5,3536.0,3536.0,2.0,2.0,rolling,9.0,,"Visible, NIR",,,,C-mount,GigE,,,CMOS,100,29,29,55.5
Basler	a2A3536-9gmBAS	area,IMX676,Sony,,,10.04,"1/1.6""",12.5,3536.0,3536.0,2.0,2.0,rolling,9.0,,"Visible, NIR",,,,C-mount,GigE,,,CMOS,100,29,29,55.5
Basler	a2A3536-31ucPRO	area,IMX676,Sony,,,10.04,"1/1.6""",12.5,3536.0,3536.0,2.0,2.0,rolling,31.0,,"Visible, NIR",,,,C-mount,USB3,,,CMOS,90,29,29,42.8
Basler	a2A3536-9gmPRO	area,IMX676,Sony,,,10.04,"1/1.6""",12.5,3536.0,3536.0,2.0,2.0,rolling,9.0,,"Visible, NIR",,,,C-mount,GigE,,,CMOS,100,29,29,55.5
Basler	boA13440-17cm	area,IMX661,Sony,,,56.65,"3.6""",127.0,13376.0,9528.0,3.45,3.45,global,17.0,,Visible,,,,M72x0.75,CoaXPress,,,CMOS,700,90,90,54
Basler	dmA1440-73gm (Mono)	area,IMX273,Sony,,,6.21,"1/2.9""",1.6,1440.0,1080.0,3.45,3.45,global,73.0,,Visible,,,,No Mount,GigE,,,CMOS,14,27,13.9,27
Basler	dmA720-290gc (Color)	area,IMX287,Sony,,,6.21,"1/2.9""",,720.0,540.0,6.9,6.9,global,290.0,,Visible,,,,No Mount,GigE,,,CMOS,14,27,13.9,27
Basler	dmA1920-51gm (Mono)	area,IMX392,Sony,,,7.77,"1/2.3""",2.3,1920.0,1200.0,3.45,3.45,global,51.0,,Visible,,,,No Mount,GigE,,,CMOS,14,27,13.9,27
Basler	dmA1920-51gc (Color)	area,IMX392,Sony,,,7.77,"1/2.3""",2.3,1920.0,1200.0,3.45,3.45,global,51.0,,Visible,,,,No Mount,GigE,,,CMOS,14,27,13.9,27
Basler	dmA1440-73gc (Color)	area,IMX273,Sony,,,6.21,"1/2.9""",1.6,1440.0,1080.0,3.45,3.45,global,73.0,,Visible,,,,No Mount,GigE,,,CMOS,14,27,13.9,27
Basler	dmA720-290gm (Mono)	area,IMX287,Sony,,,6.21,"1/2.9""",,720.0,540.0,6.9,6.9,global,290.0,,Visible,,,,No Mount,GigE,,,CMOS,14,27,13.9,27
Basler	a2A2448-210cc	area,IMX537,Sony,,,8.75,"1/1.8""",5.1,2448.0,2048.0,2.74,2.74,global,212.0,,Visible,,,,C-mount,CoaXPress,,,CMOS,76,,,
Basler	a2A2840-86cm	area,IMX546,Sony,,,11.0,"2/3""",8.1,2840.0,2840.0,2.74,2.74,global,86.0,,Visible,,,,C-mount,CoaXPress,,,CMOS,76,,,
